district_id,period_type,period_start_date,TOT_AVG,male_buckets_avg,female_buckets_avg,daytime_avg,nighttime_avg
11110,DAILY,2025-01-01,217210,"{""F0T9"": 5314, ""F10T14"": 2971, ""F15T19"": 5138, ""F20T24"": 9173, ""F25T29"": 9556, ""F30T34"": 7752, ""F35T39"": 8462, ""F40T44"": 7964, ""F45T49"": 8646, ""F50T54"": 8825, ""F55T59"": 8350, ""F60T64"": 6558, ""F65T69"": 4700, ""F70T74"": 9612}","{""F0T9"": 5592, ""F10T14"": 3299, ""F15T19"": 5376, ""F20T24"": 12335, ""F25T29"": 10817, ""F30T34"": 8176, ""F35T39"": 8767, ""F40T44"": 7957, ""F45T49"": 8709, ""F50T54"": 8192, ""F55T59"": 8377, ""F60T64"": 7235, ""F65T69"": 4995, ""F70T74"": 14363}",235098,196467
11110,DAILY,2025-01-02,272415,"{""F0T9"": 4927, ""F10T14"": 2831, ""F15T19"": 5548, ""F20T24"": 9565, ""F25T29"": 10981, ""F30T34"": 10347, ""F35T39"": 12617, ""F40T44"": 12630, ""F45T49"": 13665, ""F50T54"": 12939, ""F55T59"": 11321, ""F60T64"": 8055, ""F65T69"": 5728, ""F70T74"": 11276}","{""F0T9"": 5109, ""F10T14"": 3078, ""F15T19"": 5509, ""F20T24"": 13945, ""F25T29"": 13577, ""F30T34"": 11651, ""F35T39"": 12612, ""F40T44"": 11213, ""F45T49"": 12034, ""F50T54"": 10693, ""F55T59"": 10221, ""F60T64"": 8497, ""F65T69"": 5866, ""F70T74"": 15982}",339093,194577
11110,DAILY,2025-01-03,277132,"{""F0T9"": 5031, ""F10T14"": 2890, ""F15T19"": 5466, ""F20T24"": 9768, ""F25T29"": 11314, ""F30T34"": 10634, ""F35T39"": 13026, ""F40T44"": 12800, ""F45T49"": 13765, ""F50T54"": 12885, ""F55T59"": 11526, ""F60T64"": 8095, ""F65T69"": 5750, ""F70T74"": 11369}","{""F0T9"": 5195, ""F10T14"": 3118, ""F15T19"": 5648, ""F20T24"": 14463, ""F25T29"": 14069, ""F30T34"": 12050, ""F35T39"": 12883, ""F40T44"": 11308, ""F45T49"": 12344, ""F50T54"": 10911, ""F55T59"": 10368, ""F60T64"": 8616, ""F65T69"": 5933, ""F70T74"": 15904}",340385,211056
11110,DAILY,2025-01-04,247818,"{""F0T9"": 5301, ""F10T14"": 2955, ""F15T19"": 4910, ""F20T24"": 10245, ""F25T29"": 10770, ""F30T34"": 9007, ""F35T39"": 9623, ""F40T44"": 8893, ""F45T49"": 9631, ""F50T54"": 10041, ""F55T59"": 9768, ""F60T64"": 7735, ""F65T69"": 5675, ""F70T74"": 12142}","{""F0T9"": 5422, ""F10T14"": 3213, ""F15T19"": 5506, ""F20T24"": 14812, ""F25T29"": 12977, ""F30T34"": 9790, ""F35T39"": 10106, ""F40T44"": 9024, ""F45T49"": 9871, ""F50T54"": 9384, ""F55T59"": 9757, ""F60T64"": 8423, ""F65T69"": 6040, ""F70T74"": 16796}",287098,211310
11110,DAILY,2025-01-05,218380,"{""F0T9"": 4974, ""F10T14"": 2864, ""F15T19"": 4809, ""F20T24"": 9336, ""F25T29"": 9576, ""F30T34"": 7828, ""F35T39"": 8580, ""F40T44"": 7928, ""F45T49"": 8589, ""F50T54"": 8786, ""F55T59"": 8484, ""F60T64"": 6579, ""F65T69"": 4700, ""F70T74"": 9561}","{""F0T9"": 5128, ""F10T14"": 3047, ""F15T19"": 5331, ""F20T24"": 13005, ""F25T29"": 11219, ""F30T34"": 8399, ""F35T39"": 9031, ""F40T44"": 7919, ""F45T49"": 8830, ""F50T54"": 8359, ""F55T59"": 8626, ""F60T64"": 7327, ""F65T69"": 5084, ""F70T74"": 14481}",238806,207198
11110,DAILY,2025-01-06,274362,"{""F0T9"": 4659, ""F10T14"": 2722, ""F15T19"": 5173, ""F20T24"": 9662, ""F25T29"": 11018, ""F30T34"": 10483, ""F35T39"": 13094, ""F40T44"": 12999, ""F45T49"": 13783, ""F50T54"": 13155, ""F55T59"": 11699, ""F60T64"": 8164, ""F65T69"": 5763, ""F70T74"": 11337}","{""F0T9"": 4851, ""F10T14"": 2926, ""F15T19"": 5334, ""F20T24"": 14125, ""F25T29"": 13746, ""F30T34"": 11766, ""F35T39"": 12832, ""F40T44"": 11238, ""F45T49"": 12067, ""F50T54"": 10826, ""F55T59"": 10478, ""F60T64"": 8667, ""F65T69"": 5984, ""F70T74"": 15814}",340852,199960
11110,DAILY,2025-01-07,281102,"{""F0T9"": 4694, ""F10T14"": 2724, ""F15T19"": 5222, ""F20T24"": 9806, ""F25T29"": 11261, ""F30T34"": 10657, ""F35T39"": 13324, ""F40T44"": 13304, ""F45T49"": 14170, ""F50T54"": 13269, ""F55T59"": 11855, ""F60T64"": 8299, ""F65T69"": 5909, ""F70T74"": 11730}","{""F0T9"": 4981, ""F10T14"": 2995, ""F15T19"": 5477, ""F20T24"": 14656, ""F25T29"": 14357, ""F30T34"": 12234, ""F35T39"": 13185, ""F40T44"": 11570, ""F45T49"": 12406, ""F50T54"": 11163, ""F55T59"": 10647, ""F60T64"": 8850, ""F65T69"": 6157, ""F70T74"": 16199}",348888,210515
11110,DAILY,2025-01-08,281905,"{""F0T9"": 4699, ""F10T14"": 2738, ""F15T19"": 5126, ""F20T24"": 9904, ""F25T29"": 11303, ""F30T34"": 10787, ""F35T39"": 13320, ""F40T44"": 13215, ""F45T49"": 14069, ""F50T54"": 13245, ""F55T59"": 11879, ""F60T64"": 8307, ""F65T69"": 5785, ""F70T74"": 11527}","{""F0T9"": 4943, ""F10T14"": 2976, ""F15T19"": 5667, ""F20T24"": 15070, ""F25T29"": 14528, ""F30T34"": 12333, ""F35T39"": 13383, ""F40T44"": 11757, ""F45T49"": 12418, ""F50T54"": 11085, ""F55T59"": 10678, ""F60T64"": 8945, ""F65T69"": 6140, ""F70T74"": 16076}",349755,213264
11110,DAILY,2025-01-09,277182,"{""F0T9"": 4762, ""F10T14"": 2767, ""F15T19"": 5103, ""F20T24"": 9782, ""F25T29"": 11158, ""F30T34"": 10760, ""F35T39"": 13250, ""F40T44"": 13143, ""F45T49"": 13884, ""F50T54"": 13024, ""F55T59"": 11669, ""F60T64"": 8110, ""F65T69"": 5741, ""F70T74"": 11209}","{""F0T9"": 5037, ""F10T14"": 3019, ""F15T19"": 5340, ""F20T24"": 14645, ""F25T29"": 14180, ""F30T34"": 12164, ""F35T39"": 13117, ""F40T44"": 11357, ""F45T49"": 12128, ""F50T54"": 10864, ""F55T59"": 10548, ""F60T64"": 8689, ""F65T69"": 5962, ""F70T74"": 15772}",340383,214698
11110,DAILY,2025-01-10,276922,"{""F0T9"": 4762, ""F10T14"": 2751, ""F15T19"": 5094, ""F20T24"": 9852, ""F25T29"": 11373, ""F30T34"": 10782, ""F35T39"": 13170, ""F40T44"": 12984, ""F45T49"": 13625, ""F50T54"": 12807, ""F55T59"": 11649, ""F60T64"": 8181, ""F65T69"": 5766, ""F70T74"": 11223}","{""F0T9"": 5024, ""F10T14"": 3016, ""F15T19"": 5453, ""F20T24"": 14568, ""F25T29"": 14325, ""F30T34"": 12209, ""F35T39"": 13137, ""F40T44"": 11416, ""F45T49"": 12108, ""F50T54"": 10870, ""F55T59"": 10545, ""F60T64"": 8669, ""F65T69"": 5970, ""F70T74"": 15594}",337379,213734
